CN,,,,,,,,,,,,RT,,,,,,,,,,,
City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s]
antwerp,SEQ+REG2,75,829,449,1107,206,1077.49,1077.49,0,17,11652.13,antwerp,SEQ+REG2,75,829,449,1107,206,1067.39,1067.39,0,16,2216.6
barcelona,SEQ+REG2,75,531,2626,1652,310,388.265,388.265,0,18,14883.89,barcelona,SEQ+REG2,75,531,2626,1652,310,388.265,388.265,0,18,1874.94
boston,SEQ+REG2,75,553,4748,518,90,601.295,601.295,0,30,11190.02,boston,SEQ+REG2,75,553,4748,518,90,597.236,597.236,0,30,1134.78
bruxelles,SEQ+REG2,75,344,1916,1560,302,200.399,200.399,0,10,6974.22,bruxelles,SEQ+REG2,75,344,1916,1560,302,200.261,200.261,0,10,685.68
chicago,SEQ+REG2,75,1842,3766,2324,427,1129.94,1129.94,0,31,20576.32,chicago,SEQ+REG2,75,1842,3766,2324,427,1126.56,1126.56,0,31,3101.35
madrid,SEQ+REG2,75,606,0,5363,1026,489.818,489.818,0,20,15682.97,madrid,SEQ+REG2,75,606,0,5363,1026,489.781,489.781,0,20,2097.45
newyork,SEQ+REG2,75,2237,21386,13298,2527,4532.76,2335.76,2197,50,23508.01,newyork,SEQ+REG2,75,2237,21386,13298,2527,4522.07,2321.07,2201,50,7141.34
paris,SEQ+REG2,75,1452,8804,3666,697,1409.08,1409.08,0,49,17565.8,paris,SEQ+REG2,75,1452,8804,3666,697,1408.13,1397.14,10.9954,48,2206.09
toronto,SEQ+REG2,75,914,5528,407,69,714.121,714.121,0,30,15451.63,toronto,SEQ+REG2,75,914,5528,407,69,713.543,713.543,0,30,1788.3
,,,,,,,,,,,,,,,,,,,,,,,
CN,,,,,,,,,,,,RT,,,,,,,,,,,
City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s]
mexicocity,SEQ,60,678,0,4677,892,-279.95,275.05,-555,7,29309.32,mexicocity,SEQ,60,678,0,4677,892,-279.95,275.05,-555,7,4889.8
montreal,SEQ,60,966,8754,1617,295,879.51,931.51,-52,30,12475.23,montreal,SEQ,60,966,8754,1617,295,873.602,927.602,-54,30,2627.73
quebec,SEQ,60,167,0,897,169,-16.0311,108.969,-125,2,4268.27,quebec,SEQ,60,167,0,897,169,-16.0311,108.969,-125,2,874.34
rio,SEQ,60,403,3167,453,78,449.248,342.248,107,17,8277.95,rio,SEQ,60,403,3167,453,78,449.248,342.248,107,17,1136.31
washington,SEQ,60,803,4492,533,95,816.334,884.334,-68,20,17887.59,washington,SEQ,60,803,4492,533,95,813.049,883.049,-70,20,1723.9
,,,,,,,,,,,,,,,,,,,,,,,
,CN in Modified CS System,,,,,,,,,,,,,,,,,,,,,,
,Stations,Heur,MaxDist,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,
antwerp,829,SEQ,75,449,1105,207,978.995,1184.99,-206,17,17329.74,,,,,,,,,,,,
barcelona,531,SEQ,75,2626,1656,311,180.862,272.862,-92,8,31062.48,,,,,,,,,,,,
boston,553,SEQ,75,4748,517,91,727.804,451.804,276,17,12915.3,,,,,,,,,,,,
bruxelles,344,SEQ,75,1916,1564,303,-25.6125,248.388,-274,4,17352.13,,,,,,,,,,,,
chicago,1842,SEQ,75,3766,2334,428,820.549,1229.55,-409,19,28890,,,,,,,,,,,,
madrid,606,SEQ,75,0,5760,1028,-476.048,496.952,-973,8,21182.57,,,,,,,,,,,,
newyork,2237,SEQ,75,21386,13346,2529,2604.46,1362.46,1242,34,37102.53,,,,,,,,,,,,
paris,1452,SEQ,75,8804,3693,697,983.902,1044.9,-61,28,32901.76,,,,,,,,,,,,
toronto,914,SEQ,75,5528,408,70,734.618,669.618,65,22,17157.56,,,,,,,,,,,,
