City (75km),Stations,Ub,Dist,Rec,Drv,Time[s],Ub_ebrp,Dist_ebrp,Rec_ebrp,Ub_best,Dist_best,Rec_best
antwerp,829,1132.88,1132.88,0,18,211.45,1132.88,1132.88,0,1077.49,1077.49,0
barcelona,531,497.748,497.748,0,22,403.38,571.75,497.75,74,388.265,388.265,0
boston,553,715.658,715.658,0,29,289.44,782.66,715.66,67,601.295,601.295,0
bruxelles,344,228.626,228.626,0,11,301.89,336.63,228.63,108,200.399,200.399,0
chicago,1842,1247.469,1247.469,0,26,596.907,1332.47,1247.47,85,1129.94,1129.94,0
madrid,606,522.802,522.802,0,18,575.77,902.8,522.8,380,489.818,489.818,0
newyork,2237,inf,inf,inf,inf,inf,inf,inf,inf,4532.76,2335.76,2197
paris,1452,1076.51,1076.51,0,31,1111.69,1889.51,1076.51,813,1409.08,1409.08,0
toronto,914,786.154,786.154,0,16,443.96,1205.15,786.15,419,714.121,714.121,0
,,,,,,,,,,,,
City (60km),Stations,Ub,Dist,Rec,Drv,Time[s],Ub_ebrpcs,Dist_ebrpcs,Rec_ebrpcs,Ub_best,Dist_best,Cost_best
mexicocity,678,499.823,499.823,0,40,471.14,-71.18,499.82,-571,-279.95,275.05,-555
montreal,966,1188.75,1188.75,0,34,426.22,1263.75,1188.75,75,879.51,931.51,-52
quebec,167,98.8137,98.8137,0,3,166.36,70.81,98.81,-28,-16.0311,108.969,-125
rio,403,inf,inf,inf,inf,inf,inf,inf,inf,449.248,342.248,107
washington,803,919.788,919.788,0,23,315.91,907.79,919.79,-12,816.334,884.334,-68
